Year,Driver,Team,Position,Points,GridPosition,IsWinner,IsPodium,IsTop10,Singapore_GP_Count,Singapore_GP_Wins,Singapore_GP_Podiums,Singapore_GP_Top10,Singapore_GP_Avg_Position,Singapore_GP_Avg_Points,Singapore_GP_Best_Position,Singapore_GP_Win_Rate,Singapore_GP_Podium_Rate,Singapore_GP_Top10_Rate,Singapore_GP_Avg_Grid_Position,Singapore_GP_Grid_Improvement,Singapore_GP_Position_Std,Singapore_GP_Consistency,Recent_Avg_Position,Recent_Avg_Points,Recent_Wins,Recent_Podiums,Recent_Top10,Recent_Win_Rate,Recent_Podium_Rate,Recent_Top10_Rate,Recent_Consistency,Driver_Experience_Years,Is_Rookie,Is_Veteran,Team_Singapore_GP_Count,Team_Singapore_GP_Wins,Team_Singapore_GP_Podiums,Team_Singapore_GP_Top10,Team_Singapore_GP_Avg_Position,Team_Singapore_GP_Avg_Points,Team_Singapore_GP_Best_Position,Team_Singapore_GP_Win_Rate,Team_Singapore_GP_Podium_Rate,Team_Singapore_GP_Top10_Rate,Team_Singapore_GP_Position_Std,Team_Singapore_GP_Consistency,Team_Singapore_GP_Finish_Rate,Team_Recent_Avg_Position,Team_Recent_Avg_Points,Team_Recent_Wins,Team_Recent_Podiums,Team_Recent_Top10,Team_Recent_Win_Rate,Team_Recent_Podium_Rate,Team_Recent_Top10_Rate,Team_Recent_Consistency,Team_Experience_Years,Is_New_Team,Is_Established_Team,Temperature_Avg_C,Humidity_Percent,Precipitation_mm,Wind_Speed_kmh,Weather_Condition,Data_Source,Is_Hot,Is_Cool,Is_Humid,Is_Dry,Is_Rainy,Is_Clear,Is_Windy,Weather_Severity,Temperature_Deviation,Humidity_Deviation,Circuit_Name,Circuit_Length_km,Turns,Lap_Record_Seconds,Overtaking_Difficulty,Tire_Degradation,Track_Temperature_Range,Safety_Car_Probability,DNF_Rate,Pit_Stop_Strategy,Track_Type,Is_Night_Race,Is_Street_Circuit,Is_High_Downforce,Is_Tight_Circuit,Total_Finishers,Total_Starters,DNF_Count,Safety_Car_Deployed,Average_Grid_Position,Grid_Position_Std,Position_Changes,High_Attrition_Race,Close_Competition,Grid_Spread
2018,ALO,McLaren,7.0,6.0,11.0,0,0,1,10,2,5,8,5.9,10.4,1.0,0.2,0.5,0.8,7.2,1.2999999999999998,6.100091074001364,0.14084326378033835,9.4,7.2,0,1,3,0.0,0.2,0.6,0.12251295888246509,10,0,1,20,1,4,13,10.15,4.95,1.0,0.05,0.2,0.65,6.937882279652473,0.12597818470593153,0.65,13.4,2.4,0,0,2,0.0,0.0,0.4,0.14494533968938017,10,0,1,28.0,86.5,4.7,3.9,,Actual,0,0,0,0,0,0,0,1,0.8000000000000007,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,7,20,13,1,10.5,5.916079783099616,2.9,1,0,19.0
2021,ALO,Alpine,4.0,12.0,9.0,0,0,1,11,2,5,9,6.0,10.0,1.0,0.18181818181818182,0.45454545454545453,0.8181818181818182,7.545454545454546,1.5454545454545459,5.796550698475776,0.14713345700845937,10.4,4.8,0,0,3,0.0,0.0,0.6,0.13989593640151518,13,0,1,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.8,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,13,1,0,28.0,86.5,4.7,3.9,,Actual,0,0,0,0,0,0,0,1,0.8000000000000007,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,9,20,11,1,9.8,6.296197682979617,7.7,1,0,20.0
2022,ALO,Alpine,18.0,0.0,5.0,0,0,0,12,2,5,10,5.833333333333333,10.166666666666666,1.0,0.16666666666666666,0.4166666666666667,0.8333333333333334,7.666666666666667,1.833333333333334,5.556868531717111,0.15251182712643474,10.4,4.8,0,0,3,0.0,0.0,0.6,0.13989593640151518,14,0,1,2,1,1,2,2.5,18.5,1.0,0.5,0.5,1.0,2.1213203435596424,0.32037724101704074,1.0,2.5,18.5,1,1,2,0.5,0.5,1.0,0.32037724101704074,14,0,0,28.0,86.5,4.7,3.9,,Actual,0,0,0,0,0,0,0,1,0.8000000000000007,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,12,20,8,1,9.5,5.916079783099616,4.2,1,0,19.0
2023,ALO,Aston Martin,15.0,0.0,7.0,0,0,0,13,2,5,10,6.769230769230769,9.384615384615385,1.0,0.15384615384615385,0.38461538461538464,0.7692307692307693,7.461538461538462,0.6923076923076925,6.300183147521006,0.1369828646476602,10.6,4.8,0,0,3,0.0,0.0,0.6,0.1346527941742891,15,0,1,4,0,0,2,13.25,3.0,6.0,0.0,0.0,0.5,7.274384280931732,0.12085491391842823,0.5,13.25,3.0,0,0,2,0.0,0.0,0.5,0.12085491391842823,15,0,0,28.0,86.5,4.7,3.9,,Actual,0,0,0,0,0,0,0,1,0.8000000000000007,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,20,4,1,10.0,5.627314338711377,4.842105263157895,0,0,18.0
2024,ALO,Aston Martin,8.0,4.0,7.0,0,0,1,14,2,5,10,7.357142857142857,8.714285714285714,1.0,0.14285714285714285,0.35714285714285715,0.7142857142857143,7.428571428571429,0.07142857142857206,6.440343312124128,0.13440240027237563,12.2,3.6,0,0,2,0.0,0.0,0.4,0.1369714108736265,16,0,1,6,0,0,2,13.6,2.0,6.0,0.0,0.0,0.3333333333333333,6.348228099241551,0.13608722898833464,0.5,12.25,2.4,0,0,2,0.0,0.0,0.4,0.13425496609571336,16,0,1,28.0,86.5,4.7,3.9,,Actual,0,0,0,0,0,0,0,1,0.8000000000000007,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,8,20,12,1,10.5,5.916079783099616,2.7,1,0,19.0
2008,ROS,Williams,2.0,8.0,8.0,0,1,1,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.5,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.8,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,1,0,28.0,71.4,5.8,2.6,Light Rain,Actual,0,0,0,0,1,0,0,3,0.5,8.599999999999994,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,20,6,1,10.5,5.916079783099616,5.2,1,0,19.0
2009,ROS,Williams,11.0,0.0,3.0,0,0,0,1,0,1,1,2.0,8.0,2.0,0.0,1.0,1.0,8.0,6.0,4.330030788530994,0.18762168081800862,2.0,8.0,0,1,1,0.0,1.0,1.0,0.5,1,0,0,2,0,1,2,5.0,4.5,2.0,0.0,0.5,1.0,4.242640687119285,0.1907435698305462,1.0,5.0,4.5,0,1,2,0.0,0.5,1.0,0.1907435698305462,1,0,0,28.0,69.3,3.3,1.0,Light Rain,Actual,0,0,0,1,1,0,0,3,0.5,10.700000000000003,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,20,6,1,10.5,5.916079783099616,3.2,1,0,19.0
2010,ROS,Mercedes,5.0,10.0,7.0,0,0,1,2,0,1,1,6.5,4.0,2.0,0.0,0.5,0.5,5.5,-1.0,6.363961030678928,0.13579648178933995,6.5,4.0,0,1,1,0.0,0.5,0.5,0.13579648178933995,2,0,0,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.8,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,2,1,0,27.9,87.3,3.3,3.9,Light Rain,Actual,0,0,1,0,1,0,0,3,0.6000000000000014,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,10,24,14,1,12.5,7.0710678118654755,3.9166666666666665,1,0,23.0
2011,ROS,Mercedes,7.0,6.0,7.0,0,0,1,3,0,1,2,6.0,6.0,2.0,0.0,0.3333333333333333,0.6666666666666666,6.0,0.0,4.58257569495584,0.179128784747792,6.0,6.0,0,1,2,0.0,0.3333333333333333,0.6666666666666666,0.179128784747792,3,0,0,2,0,0,1,9.0,5.0,5.0,0.0,0.0,0.5,5.656854249492381,0.15022110482233483,0.5,9.0,5.0,0,0,1,0.0,0.0,0.5,0.15022110482233483,3,0,0,29.4,91.0,4.7,11.3,Light Rain,Actual,0,0,1,0,1,0,0,3,0.8999999999999986,11.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,6,24,18,1,12.5,7.0710678118654755,2.5833333333333335,1,0,23.0
2012,ROS,Mercedes,5.0,10.0,10.0,0,0,1,4,0,1,3,6.25,6.0,2.0,0.0,0.25,0.75,6.25,0.0,3.774917217635375,0.20942771453851886,6.25,6.0,0,1,3,0.0,0.25,0.75,0.20942771453851886,4,0,0,4,0,0,2,12.0,4.0,5.0,0.0,0.0,0.5,8.082903768654761,0.11009694977183565,0.25,12.0,4.0,0,0,2,0.0,0.0,0.5,0.11009694977183565,4,0,0,27.7,76.0,4.9,25.0,Light Rain,Actual,0,0,0,0,1,0,1,3,0.8000000000000007,4.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,24,8,1,12.5,7.0710678118654755,5.583333333333333,1,0,23.0
2013,ROS,Mercedes,4.0,12.0,2.0,0,0,1,5,0,1,4,6.0,6.8,2.0,0.0,0.2,0.8,7.0,1.0,3.3166247903554,0.23166247903554,6.0,6.8,0,1,4,0.0,0.2,0.8,0.23166247903554,5,0,1,6,0,0,3,12.333333333333334,4.333333333333333,5.0,0.0,0.0,0.5,8.066391179868893,0.11029746898858833,0.3333333333333333,13.8,3.2,0,0,2,0.0,0.0,0.4,0.11019706690458785,5,0,1,28.9,86.5,5.0,2.2,Light Rain,Actual,0,0,1,0,1,0,0,3,0.3999999999999986,6.5,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,22,8,1,11.5,6.493586579592718,4.636363636363637,1,0,21.0
2014,ROS,Mercedes,21.0,0.0,2.0,0,0,0,6,0,1,5,5.666666666666667,7.666666666666667,2.0,0.0,0.16666666666666666,0.8333333333333334,6.166666666666667,0.5,3.07679486912382,0.24529073257367962,6.4,7.6,0,0,4,0.0,0.0,0.8,0.2636541189343806,6,0,1,8,0,0,5,10.375,6.0,4.0,0.0,0.0,0.625,7.726346392146069,0.11459549679348335,0.5,11.6,6.4,0,0,3,0.0,0.0,0.6,0.0949766525574307,6,0,1,27.0,95.0,5.7,1.5,Light Rain,Actual,0,0,1,0,1,0,0,3,1.5,15.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,22,6,1,11.5,6.493586579592718,4.090909090909091,1,0,21.0
2015,ROS,Mercedes,4.0,12.0,6.0,0,0,1,7,0,1,5,7.857142857142857,6.571428571428571,2.0,0.0,0.14285714285714285,0.7142857142857143,5.571428571428571,-2.2857142857142856,6.4402011207873375,0.13440496886651068,8.4,7.6,0,0,4,0.0,0.0,0.8,0.123040399045827,7,0,1,10,1,1,6,10.5,7.3,1.0,0.1,0.1,0.6,8.289886743630593,0.10764393879027945,0.5,10.4,9.4,1,1,3,0.2,0.2,0.6,0.09269775783326714,7,0,1,30.3,78.7,14.5,13.8,Rain,Actual,1,0,0,0,1,0,0,3,1.8000000000000007,1.2999999999999972,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,12,20,8,1,10.5,5.916079783099616,4.3,1,0,19.0
2016,ROS,Mercedes,1.0,25.0,1.0,1,1,1,8,0,1,6,7.375,7.25,2.0,0.0,0.125,0.75,5.625,-1.75,6.1164298643664905,0.14051989818760346,8.2,8.0,0,0,4,0.0,0.0,0.8,0.12107304768186876,8,0,1,12,1,1,7,10.583333333333334,7.083333333333333,1.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,8.073056572590238,0.11021644051256183,0.5,9.8,9.4,1,1,3,0.2,0.2,0.6,0.09961344771724082,8,0,1,29.3,87.0,3.1,8.2,Light Rain,Actual,0,0,1,0,1,0,0,3,0.8000000000000007,7.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,10,22,12,1,11.5,6.493586579592718,4.363636363636363,1,0,21.0
2008,HAM,McLaren,3.0,6.0,2.0,0,1,1,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.5,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.8,20.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,1,0,28.0,71.4,5.8,2.6,Light Rain,Actual,0,0,0,0,1,0,0,3,0.5,8.599999999999994,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,20,6,1,10.5,5.916079783099616,5.2,1,0,19.0
2009,HAM,McLaren,1.0,10.0,1.0,1,1,1,1,0,1,1,3.0,6.0,3.0,0.0,1.0,1.0,2.0,-1.0,4.330030788530994,0.18762168081800862,3.0,6.0,0,1,1,0.0,1.0,1.0,0.5,1,0,0,2,0,1,2,6.5,3.0,3.0,0.0,0.5,1.0,4.949747468305833,0.1680743603534397,1.0,6.5,3.0,0,1,2,0.0,0.5,1.0,0.1680743603534397,1,0,0,28.0,69.3,3.3,1.0,Light Rain,Actual,0,0,0,1,1,0,0,3,0.5,10.700000000000003,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,20,6,1,10.5,5.916079783099616,3.2,1,0,19.0
2010,HAM,McLaren,19.0,0.0,3.0,0,0,0,2,1,2,2,2.0,8.0,1.0,0.5,1.0,1.0,1.5,-0.5,1.4142135623730951,0.4142135623730951,2.0,8.0,1,2,2,0.5,1.0,1.0,0.4142135623730951,2,0,0,4,1,2,4,5.25,4.5,1.0,0.25,0.5,1.0,4.031128874149275,0.1987625491245426,1.0,5.25,4.5,1,2,4,0.25,0.5,1.0,0.1987625491245426,2,0,0,27.9,87.3,3.3,3.9,Light Rain,Actual,0,0,1,0,1,0,0,3,0.6000000000000014,7.299999999999997,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,10,24,14,1,12.5,7.0710678118654755,3.9166666666666665,1,0,23.0
2011,HAM,McLaren,5.0,10.0,4.0,0,0,1,3,1,2,2,7.666666666666667,5.333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,-5.666666666666667,9.865765724632494,0.09203217015189441,7.666666666666667,5.333333333333333,1,2,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.09203217015189441,3,0,0,6,1,2,5,7.333333333333333,5.0,1.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,6.531972647421808,0.1327673435381234,0.8333333333333334,8.2,4.8,1,1,4,0.2,0.2,0.8,0.12647791563025274,3,0,1,29.4,91.0,4.7,11.3,Light Rain,Actual,0,0,1,0,1,0,0,3,0.8999999999999986,11.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,6,24,18,1,12.5,7.0710678118654755,2.5833333333333335,1,0,23.0
2012,HAM,McLaren,24.0,0.0,1.0,0,0,0,4,1,2,3,7.0,6.5,1.0,0.25,0.5,0.75,2.5,-4.5,8.16496580927726,0.10911115445599888,7.0,6.5,1,2,3,0.25,0.5,0.75,0.10911115445599888,4,0,0,8,1,3,7,6.375,7.25,1.0,0.125,0.375,0.875,5.853875395228117,0.14590285675403894,0.875,7.4,8.4,0,1,4,0.0,0.2,0.8,0.12935727919154708,4,0,1,27.7,76.0,4.9,25.0,Light Rain,Actual,0,0,0,0,1,0,1,3,0.8000000000000007,4.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,24,8,1,12.5,7.0710678118654755,5.583333333333333,1,0,23.0
2013,HAM,Mercedes,5.0,10.0,5.0,0,0,1,5,1,2,3,10.4,5.2,1.0,0.2,0.4,0.6,2.2,-8.2,10.382677881933928,0.08785278915668472,10.4,5.2,1,2,3,0.2,0.4,0.6,0.08785278915668472,5,0,1,6,0,0,3,12.333333333333334,4.333333333333333,5.0,0.0,0.0,0.5,8.066391179868893,0.11029746898858833,0.3333333333333333,13.8,3.2,0,0,2,0.0,0.0,0.4,0.11019706690458785,5,0,1,28.9,86.5,5.0,2.2,Light Rain,Actual,0,0,1,0,1,0,0,3,0.3999999999999986,6.5,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,14,22,8,1,11.5,6.493586579592718,4.636363636363637,1,0,21.0
2014,HAM,Mercedes,1.0,25.0,1.0,1,1,1,6,1,2,4,9.5,6.0,1.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,2.6666666666666665,-6.833333333333334,9.544631999192006,0.09483498334286355,10.8,6.0,1,1,3,0.2,0.2,0.6,0.09041737596773886,6,0,1,8,0,0,5,10.375,6.0,4.0,0.0,0.0,0.625,7.726346392146069,0.11459549679348335,0.5,11.6,6.4,0,0,3,0.0,0.0,0.6,0.0949766525574307,6,0,1,27.0,95.0,5.7,1.5,Light Rain,Actual,0,0,1,0,1,0,0,3,1.5,15.0,Marina Bay Street Circuit,5.063,23,95.0,8,7,5,0.6,0.15,2,Street Circuit,1,1,1,1,16,22,6,1,11.5,6.493586579592718,4.090909090909091,1,0,21.0
